iter	RMSE
0	30964.49251
1	30782.97875
2	30616.29194
3	30456.18035
4	30316.74189
5	30193.41056
6	30080.61405
7	29972.00477
8	29876.67043
9	29790.11264
10	29712.12955
11	29636.02004
12	29566.93231
13	29498.78279
14	29443.1492
15	29389.96129
16	29340.03037
17	29291.8264
18	29251.14289
19	29210.86451
20	29179.02536
21	29149.32799
22	29115.14739
23	29081.28893
24	29046.88328
25	29010.62554
26	28989.32309
27	28965.43856
28	28935.06807
29	28907.73029
30	28883.02259
31	28862.52103
32	28840.12344
33	28819.50668
34	28801.46365
35	28782.9272
36	28764.99062
37	28749.55554
38	28726.71876
39	28713.85304
40	28695.97409
41	28685.88421
42	28668.76819
43	28653.05108
44	28636.05868
45	28627.51685
46	28612.11905
47	28596.8378
48	28588.14871
49	28576.39902
50	28562.07283
51	28536.10143
52	28520.83711
53	28507.11613
54	28495.47228
55	28484.78598
56	28475.82662
57	28466.37957
58	28442.79234
59	28425.60335
60	28420.21552
61	28411.65888
62	28396.21592
63	28385.92247
64	28355.08208
65	28346.63581
66	28339.84192
67	28332.36799
68	28324.98341
69	28311.7218
70	28301.154
71	28292.41969
72	28287.00609
73	28268.31889
74	28262.00655
75	28252.6505
76	28247.48584
77	28238.45705
78	28232.26689
79	28224.72917
80	28203.23308
81	28193.40895
82	28188.08948
83	28181.2369
84	28177.76302
85	28170.61653
86	28165.0212
87	28152.51064
88	28147.09352
89	28140.18381
90	28133.32189
91	28130.01499
92	28127.9261
93	28108.11299
94	28105.51618
95	28098.31956
96	28093.60398
97	28087.99092
98	28080.12695
99	28057.42264
100	28047.47921
101	28039.8062
102	28035.95122
103	28027.95708
104	28024.91973
105	28016.84289
106	28010.51043
107	28007.29261
108	28003.27485
109	28000.1715
110	27994.72744
111	27989.11673
112	27981.32766
113	27976.07785
114	27970.89513
115	27962.89551
116	27960.17245
117	27950.71164
118	27944.57586
119	27942.79637
120	27940.08467
121	27934.49371
122	27930.95236
123	27921.0573
124	27918.48281
125	27914.34318
126	27911.23457
127	27903.64277
128	27894.46104
129	27882.2537
130	27881.32654
131	27880.27977
132	27864.00105
133	27850.39525
134	27844.31147
135	27834.82768
136	27819.23291
137	27816.90664
138	27816.51113
139	27813.63632
140	27810.89693
141	27809.67706
142	27803.32341
143	27796.41007
144	27792.25276
145	27789.54659
146	27781.09395
147	27777.49839
148	27776.72785
149	27769.12183
150	27758.1855
151	27755.32329
152	27742.47388
153	27737.81996
154	27731.74341
155	27731.00048
156	27720.44185
157	27719.78125
158	27707.26081
159	27706.14801
160	27702.91369
161	27690.67533
162	27685.50955
163	27681.86056
164	27674.92225
165	27669.1595
166	27666.96859
167	27661.81196
168	27660.2051
169	27654.23918
170	27644.837
171	27643.48592
172	27641.12313
173	27637.73038
174	27636.96937
175	27628.73871
176	27624.59903
177	27622.72306
178	27620.75408
179	27607.23145
180	27595.47923
181	27585.48613
182	27582.5868
183	27581.03641
184	27578.90786
185	27572.70988
186	27568.40775
187	27565.40087
188	27562.6014
189	27561.79543
190	27558.54106
191	27557.21267
192	27555.88152
193	27550.97974
194	27550.0671
195	27545.46963
196	27541.16853
197	27537.90835
198	27533.40998
199	27529.85438
200	27527.7916
201	27523.45333
202	27516.38557
203	27508.1782
204	27504.0015
205	27500.54194
206	27499.61139
207	27498.71162
208	27493.15269
209	27491.14957
210	27488.7744
211	27476.62624
212	27469.06112
213	27468.50311
214	27466.70741
215	27458.95644
216	27456.19456
217	27450.14068
218	27448.11418
219	27446.87291
220	27443.26314
221	27436.55222
222	27432.02262
223	27427.47169
224	27421.23902
225	27419.39042
226	27415.02837
227	27403.72208
228	27399.00001
229	27387.26235
230	27380.14246
231	27379.63152
232	27378.05054
233	27372.23846
234	27370.54529
235	27359.80942
236	27356.57013
237	27355.55999
238	27353.63417
239	27349.50735
240	27348.43725
241	27341.56168
242	27332.94813
243	27330.92424
244	27329.00018
245	27326.3908
246	27322.94357
247	27318.89037
248	27307.96596
249	27301.89907
250	27300.18629
251	27289.60074
252	27287.17522
253	27284.75462
254	27280.93264
255	27277.27389
256	27274.91038
257	27269.40622
258	27264.72464
259	27262.82763
260	27252.62078
261	27250.91127
262	27249.79116
263	27239.83865
264	27238.65458
265	27235.70373
266	27233.66987
267	27227.55244
268	27218.19242
269	27209.07285
270	27206.41063
271	27204.55842
272	27200.86138
273	27197.58746
274	27188.18733
275	27185.36831
276	27182.16985
277	27181.1183
278	27176.522
279	27173.90995
280	27172.19446
281	27171.31664
282	27168.51556
283	27164.36749
284	27156.63051
285	27148.01154
286	27146.6231
287	27144.8068
288	27142.46192
289	27137.07279
290	27128.12514
291	27125.99827
292	27123.00856
293	27121.34705
294	27119.71672
295	27111.34948
296	27106.72588
297	27104.697
298	27103.79011
299	27101.77087
300	27098.01907
301	27095.3129
302	27093.11003
303	27090.9901
304	27089.73896
305	27082.67848
306	27080.24865
307	27078.33934
308	27071.97818
309	27063.4488
310	27061.24948
311	27059.49369
312	27057.28353
313	27054.59503
314	27053.55048
315	27051.55137
316	27050.03721
317	27041.90264
318	27038.8321
319	27038.35953
320	27036.56314
321	27031.04946
322	27022.92072
323	27018.93514
324	27018.49706
325	27017.18956
326	27009.25642
327	27007.53962
328	27005.83264
329	27000.57218
330	26996.88127
331	26995.33881
332	26994.69646
333	26991.6846
334	26990.33167
335	26982.58314
336	26981.27605
337	26974.58143
338	26969.18961
339	26963.09928
340	26961.70068
341	26957.80463
342	26950.06764
343	26948.52593
344	26947.12471
345	26946.21979
346	26938.66174
347	26933.8783
348	26924.71568
349	26921.45054
350	26915.65929
351	26908.29481
352	26903.32752
353	26902.08055
354	26901.6638
355	26900.36866
356	26896.82223
357	26889.20592
358	26888.04119
359	26880.85649
360	26879.99228
361	26878.82538
362	26878.14009
363	26875.7169
364	26874.65821
365	26870.27654
366	26868.99782
367	26866.13579
368	26864.83143
369	26863.33751
370	26861.46801
371	26856.88647
372	26849.87728
373	26846.92715
374	26845.52819
375	26842.25798
376	26839.68958
377	26838.56292
378	26836.62974
379	26835.17778
380	26828.34143
381	26825.09638
382	26818.40063
383	26816.98481
384	26815.93763
385	26814.56179
386	26813.67872
387	26807.1503
388	26805.992
389	26803.65655
390	26801.44044
391	26800.436
392	26797.81168
393	26795.42468
394	26794.24239
395	26789.07377
396	26784.60924
397	26781.69468
398	26775.32084
399	26773.67942
