iter	Passed	Remaining
0	20	8018
1	40	8008
2	70	9299
3	98	9770
4	123	9737
5	149	9839
6	179	10054
7	218	10696
8	249	10858
9	282	11002
10	310	10993
11	336	10884
12	362	10784
13	388	10705
14	413	10605
15	436	10486
16	462	10413
17	487	10341
18	518	10400
19	551	10484
20	579	10459
21	604	10392
22	629	10316
23	658	10319
24	685	10281
25	714	10270
26	745	10299
27	770	10239
28	796	10183
29	823	10153
30	849	10106
31	876	10074
32	903	10053
33	930	10021
34	956	9974
35	984	9952
36	1007	9888
37	1036	9869
38	1060	9812
39	1084	9762
40	1111	9730
41	1134	9674
42	1161	9644
43	1188	9614
44	1217	9608
45	1245	9583
46	1277	9596
47	1308	9595
48	1340	9599
49	1368	9577
50	1399	9574
51	1433	9593
52	1459	9557
53	1486	9523
54	1516	9514
55	1545	9492
56	1574	9476
57	1600	9436
58	1626	9402
59	1651	9360
60	1676	9317
61	1701	9275
62	1731	9264
63	1755	9218
64	1782	9186
65	1813	9175
66	1839	9141
67	1869	9128
68	1896	9096
69	1922	9064
70	1944	9010
71	1972	8984
72	1998	8951
73	2024	8920
74	2049	8879
75	2078	8859
76	2104	8829
77	2132	8803
78	2161	8784
79	2189	8757
80	2218	8735
81	2246	8713
82	2276	8695
83	2306	8676
84	2328	8630
85	2361	8622
86	2388	8592
87	2421	8585
88	2451	8566
89	2480	8543
90	2504	8502
91	2531	8476
92	2555	8435
93	2583	8410
94	2610	8381
95	2634	8342
96	2661	8313
97	2687	8282
98	2714	8252
99	2742	8228
100	2767	8191
101	2794	8164
102	2824	8143
103	2845	8098
104	2870	8063
105	2895	8029
106	2920	7998
107	2944	7961
108	2970	7931
109	2995	7896
110	3023	7871
111	3050	7842
112	3076	7813
113	3104	7788
114	3133	7764
115	3163	7745
116	3191	7718
117	3215	7684
118	3246	7666
119	3274	7640
120	3299	7608
121	3323	7572
122	3351	7547
123	3379	7521
124	3403	7487
125	3427	7452
126	3455	7427
127	3483	7402
128	3511	7376
129	3543	7360
130	3574	7340
131	3603	7316
132	3628	7283
133	3654	7253
134	3682	7228
135	3708	7198
136	3736	7172
137	3758	7135
138	3781	7101
139	3810	7076
140	3836	7047
141	3861	7016
142	3886	6985
143	3911	6953
144	3938	6925
145	3963	6896
146	3997	6879
147	4026	6855
148	4048	6819
149	4070	6784
150	4097	6756
151	4125	6731
152	4150	6700
153	4178	6675
154	4201	6641
155	4230	6616
156	4258	6591
157	4283	6561
158	4310	6533
159	4332	6499
160	4359	6472
161	4389	6448
162	4418	6424
163	4443	6393
164	4470	6367
165	4495	6336
166	4521	6307
167	4542	6273
168	4565	6240
169	4590	6210
170	4621	6188
171	4656	6173
172	4688	6152
173	4717	6127
174	4741	6096
175	4771	6073
176	4798	6044
177	4821	6013
178	4848	5985
179	4876	5960
180	4905	5935
181	4928	5902
182	4952	5872
183	4984	5851
184	5011	5824
185	5035	5793
186	5064	5768
187	5090	5740
188	5117	5712
189	5141	5683
190	5167	5654
191	5192	5625
192	5219	5597
193	5247	5571
194	5270	5540
195	5295	5512
196	5319	5481
197	5350	5458
198	5386	5441
199	5411	5411
200	5437	5383
201	5464	5356
202	5494	5331
203	5520	5304
204	5542	5272
205	5570	5246
206	5596	5218
207	5618	5185
208	5643	5157
209	5671	5131
210	5696	5102
211	5725	5077
212	5760	5057
213	5788	5030
214	5820	5007
215	5850	4983
216	5877	4956
217	5901	4927
218	5929	4900
219	5954	4872
220	5983	4846
221	6012	4821
222	6041	4795
223	6068	4768
224	6093	4739
225	6124	4715
226	6152	4688
227	6180	4662
228	6206	4634
229	6232	4606
230	6256	4577
231	6282	4549
232	6310	4523
233	6337	4496
234	6364	4468
